id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7321122,Tranquil living in a private road,37078461,Glen,,Ward 113,-33.82521,18.50694,Entire home/apt,823,14,2,2015-12-20,0.05,2,304
7322094,"Indoor-outdoor Living at an Airy, High-end Home",38351490,Glenn And Clare,,Ward 59,-33.99164,18.4687,Entire home/apt,2948,2,45,2019-01-22,1.16,2,289
7326377,Designer loft in heart of Cape Town City Centre,31198491,Francois,,Ward 115,-33.92531,18.42205,Entire home/apt,850,2,25,2017-05-08,0.62,1,0
7326744,Savour Sweeping City Views from an Urban-chic Woodstock Pad,38373308,Jane,,Ward 57,-33.93339,18.45866,Entire home/apt,562,1,85,2019-02-02,1.98,1,298
7332804,Chapman's Peak Lookout,38417885,Dawn,,Ward 74,-34.04734,18.36098,Entire home/apt,1056,2,44,2019-02-12,1.22,1,359
7335255,"Two bed apartment, fantastic views!",37654364,Toni,,Ward 77,-33.93612,18.40128,Entire home/apt,1207,3,7,2016-08-15,0.21,3,0
7335718,Futon for the budget traveler,37382748,Eliné,,Ward 57,-33.93623,18.45246,Private room,165,2,42,2018-12-30,0.98,2,325
7341523,Constantia Lazy River Willow Suite,38431577,Janine,,Ward 62,-34.01824,18.45849,Entire home/apt,1399,1,8,2018-04-24,0.20,4,365
7350494,"温馨､整洁的房间,位于半山腰,有很漂亮的远眺景色｡",38514993,晨曦,,Ward 112,-33.83422,18.63136,Private room,644,1,0,,,1,365
7352589,"312 Harbour Bridge, Cape Town",27513182,Elmarie,,Ward 115,-33.91502,18.42551,Entire home/apt,1001,2,49,2018-12-01,1.19,2,335
7354738,Beautiful room for rent - Cape Town,33963526,Stephan,,Ward 59,-33.99016,18.4698,Private room,398,1,0,,,1,363
7357555,Fresnaye - Cape Town,38550263,Steve,,Ward 54,-33.92778,18.38245,Entire home/apt,12505,7,0,,,1,179
7372722,Big Room Amazing Views of Lions Head,35388067,Kevin,,Ward 77,-33.9391,18.4285,Private room,398,5,2,2019-02-08,2,2,354
7373085,BRIGHT MODERN GREEN POINT CENTRAL  STUDIO,23363126,Felicia,,Ward 115,-33.90816,18.40661,Entire home/apt,562,2,109,2019-02-11,2.57,3,144
7374170,10 The Village,30492301,Adriaan,,Ward 74,-34.04556,18.35842,Entire home/apt,2098,1,15,2018-04-02,0.40,3,121
7377405,"Beach, Mountain & Convenience at the Atlantic.",29927134,Marc,,Ward 54,-33.9173,18.38938,Entire home/apt,2098,1,105,2019-02-08,2.66,2,322
7377588,Luxury Suite Situated in Aparthotel,30047068,Melindie,,Ward 54,-33.91253,18.39098,Private room,2494,1,15,2016-11-01,0.35,2,365
7383255,Family Home in the heart of Noordhoek,28794506,Anthony,,Ward 69,-34.10683,18.39493,Entire home/apt,2002,2,7,2019-02-03,3.68,1,325
